,date,format,deck,wins,games
259,2023-06-24,LTR,Jund (BRG) + Splash,0,0
260,2023-06-24,LTR,Naya (RGW) + Splash,0,0
261,2023-06-24,LTR,Bant (GWU) + Splash,0,0
262,2023-06-24,LTR,Four-color,0,0
263,2023-06-24,LTR,Four-color + Splash,4,7
264,2023-06-24,LTR,Five-color,0,0
265,2023-06-25,LTR,Mono-White,0,0
266,2023-06-25,LTR,Mono-Blue,0,0
267,2023-06-25,LTR,Mono-Black,5,8
268,2023-06-25,LTR,Mono-Red,8,17
269,2023-06-25,LTR,Mono-Green,5,8
270,2023-06-25,LTR,Mono-White + Splash,0,0
271,2023-06-25,LTR,Mono-Blue + Splash,0,0
272,2023-06-25,LTR,Mono-Black + Splash,25,36
273,2023-06-25,LTR,Mono-Red + Splash,3,3
274,2023-06-25,LTR,Mono-Green + Splash,0,0
275,2023-06-25,LTR,Azorius (WU),38,78
276,2023-06-25,LTR,Dimir (UB),276,425
277,2023-06-25,LTR,Rakdos (BR),889,1407
278,2023-06-25,LTR,Gruul (RG),12,30
279,2023-06-25,LTR,Selesnya (GW),79,154
280,2023-06-25,LTR,Orzhov (WB),406,652
281,2023-06-25,LTR,Golgari (BG),70,126
282,2023-06-25,LTR,Simic (GU),24,68
283,2023-06-25,LTR,Izzet (UR),275,444
284,2023-06-25,LTR,Boros (RW),303,496
285,2023-06-25,LTR,Azorius (WU) + Splash,22,33
286,2023-06-25,LTR,Dimir (UB) + Splash,157,252
287,2023-06-25,LTR,Rakdos (BR) + Splash,117,202
288,2023-06-25,LTR,Gruul (RG) + Splash,30,50
289,2023-06-25,LTR,Selesnya (GW) + Splash,38,68
290,2023-06-25,LTR,Orzhov (WB) + Splash,57,100
291,2023-06-25,LTR,Golgari (BG) + Splash,63,110
292,2023-06-25,LTR,Simic (GU) + Splash,8,26
293,2023-06-25,LTR,Izzet (UR) + Splash,128,196
294,2023-06-25,LTR,Boros (RW) + Splash,28,50
295,2023-06-25,LTR,Jeskai (WUR),7,10
296,2023-06-25,LTR,Sultai (UBG),3,5
297,2023-06-25,LTR,Mardu (BRW),21,36
298,2023-06-25,LTR,Temur (RGU),9,19
299,2023-06-25,LTR,Abzan (GWB),38,66
300,2023-06-25,LTR,Esper (WUB),3,9
301,2023-06-25,LTR,Grixis (UBR),30,58
302,2023-06-25,LTR,Jund (BRG),12,16
303,2023-06-25,LTR,Naya (RGW),12,19
304,2023-06-25,LTR,Bant (GWU),8,14
305,2023-06-25,LTR,Jeskai (WUR) + Splash,0,0
306,2023-06-25,LTR,Sultai (UBG) + Splash,0,0
307,2023-06-25,LTR,Mardu (BRW) + Splash,5,8
308,2023-06-25,LTR,Temur (RGU) + Splash,5,7
309,2023-06-25,LTR,Abzan (GWB) + Splash,26,41
310,2023-06-25,LTR,Esper (WUB) + Splash,0,0
311,2023-06-25,LTR,Grixis (UBR) + Splash,4,5
312,2023-06-25,LTR,Jund (BRG) + Splash,1,6
313,2023-06-25,LTR,Naya (RGW) + Splash,4,7
314,2023-06-25,LTR,Bant (GWU) + Splash,7,8
315,2023-06-25,LTR,Four-color,1,4
316,2023-06-25,LTR,Four-color + Splash,0,0
317,2023-06-25,LTR,Five-color,0,0
318,2023-06-26,LTR,Mono-White,0,0
319,2023-06-26,LTR,Mono-Blue,0,0
320,2023-06-26,LTR,Mono-Black,3,8
321,2023-06-26,LTR,Mono-Red,7,8
322,2023-06-26,LTR,Mono-Green,0,0
323,2023-06-26,LTR,Mono-White + Splash,4,5
324,2023-06-26,LTR,Mono-Blue + Splash,9,12
325,2023-06-26,LTR,Mono-Black + Splash,13,19
326,2023-06-26,LTR,Mono-Red + Splash,7,8
327,2023-06-26,LTR,Mono-Green + Splash,0,0
328,2023-06-26,LTR,Azorius (WU),92,151
329,2023-06-26,LTR,Dimir (UB),300,493
330,2023-06-26,LTR,Rakdos (BR),782,1250
331,2023-06-26,LTR,Gruul (RG),44,66
332,2023-06-26,LTR,Selesnya (GW),70,118
333,2023-06-26,LTR,Orzhov (WB),321,508
334,2023-06-26,LTR,Golgari (BG),69,117
335,2023-06-26,LTR,Simic (GU),35,67
336,2023-06-26,LTR,Izzet (UR),264,432
337,2023-06-26,LTR,Boros (RW),255,434
338,2023-06-26,LTR,Azorius (WU) + Splash,23,50
339,2023-06-26,LTR,Dimir (UB) + Splash,84,164
340,2023-06-26,LTR,Rakdos (BR) + Splash,79,144
341,2023-06-26,LTR,Gruul (RG) + Splash,0,0
342,2023-06-26,LTR,Selesnya (GW) + Splash,44,72
343,2023-06-26,LTR,Orzhov (WB) + Splash,52,96
344,2023-06-26,LTR,Golgari (BG) + Splash,40,67
345,2023-06-26,LTR,Simic (GU) + Splash,28,56
346,2023-06-26,LTR,Izzet (UR) + Splash,115,183
347,2023-06-26,LTR,Boros (RW) + Splash,23,39
348,2023-06-26,LTR,Jeskai (WUR),7,10
349,2023-06-26,LTR,Sultai (UBG),7,14
350,2023-06-26,LTR,Mardu (BRW),25,44
351,2023-06-26,LTR,Temur (RGU),0,3
