,date,format,deck,wins,games
343,2023-06-26,LTR,Orzhov (WB) + Splash,361,663
344,2023-06-26,LTR,Golgari (BG) + Splash,290,563
345,2023-06-26,LTR,Simic (GU) + Splash,223,485
346,2023-06-26,LTR,Izzet (UR) + Splash,404,771
347,2023-06-26,LTR,Boros (RW) + Splash,159,316
348,2023-06-26,LTR,Jeskai (WUR),24,51
349,2023-06-26,LTR,Sultai (UBG),39,83
350,2023-06-26,LTR,Mardu (BRW),120,220
351,2023-06-26,LTR,Temur (RGU),26,52
352,2023-06-26,LTR,Abzan (GWB),178,351
353,2023-06-26,LTR,Esper (WUB),71,180
354,2023-06-26,LTR,Grixis (UBR),260,490
355,2023-06-26,LTR,Jund (BRG),85,157
356,2023-06-26,LTR,Naya (RGW),68,135
357,2023-06-26,LTR,Bant (GWU),64,132
358,2023-06-26,LTR,Jeskai (WUR) + Splash,17,23
359,2023-06-26,LTR,Sultai (UBG) + Splash,16,38
360,2023-06-26,LTR,Mardu (BRW) + Splash,11,18
361,2023-06-26,LTR,Temur (RGU) + Splash,14,24
362,2023-06-26,LTR,Abzan (GWB) + Splash,29,49
363,2023-06-26,LTR,Esper (WUB) + Splash,6,22
364,2023-06-26,LTR,Grixis (UBR) + Splash,10,21
365,2023-06-26,LTR,Jund (BRG) + Splash,16,26
366,2023-06-26,LTR,Naya (RGW) + Splash,34,76
367,2023-06-26,LTR,Bant (GWU) + Splash,18,35
368,2023-06-26,LTR,Four-color,52,100
369,2023-06-26,LTR,Four-color + Splash,11,20
370,2023-06-26,LTR,Five-color,2,4
371,2023-06-27,LTR,Mono-White,4,7
372,2023-06-27,LTR,Mono-Blue,4,8
373,2023-06-27,LTR,Mono-Black,40,65
374,2023-06-27,LTR,Mono-Red,26,38
375,2023-06-27,LTR,Mono-Green,3,7
376,2023-06-27,LTR,Mono-White + Splash,12,20
377,2023-06-27,LTR,Mono-Blue + Splash,9,12
378,2023-06-27,LTR,Mono-Black + Splash,55,84
379,2023-06-27,LTR,Mono-Red + Splash,21,38
380,2023-06-27,LTR,Mono-Green + Splash,17,32
381,2023-06-27,LTR,Azorius (WU),456,885
382,2023-06-27,LTR,Dimir (UB),1193,2105
383,2023-06-27,LTR,Rakdos (BR),3081,5059
384,2023-06-27,LTR,Gruul (RG),209,388
385,2023-06-27,LTR,Selesnya (GW),480,855
386,2023-06-27,LTR,Orzhov (WB),1469,2552
387,2023-06-27,LTR,Golgari (BG),516,929
388,2023-06-27,LTR,Simic (GU),367,755
389,2023-06-27,LTR,Izzet (UR),1496,2635
390,2023-06-27,LTR,Boros (RW),1422,2532
391,2023-06-27,LTR,Azorius (WU) + Splash,94,231
392,2023-06-27,LTR,Dimir (UB) + Splash,476,890
393,2023-06-27,LTR,Rakdos (BR) + Splash,601,1105
394,2023-06-27,LTR,Gruul (RG) + Splash,118,252
395,2023-06-27,LTR,Selesnya (GW) + Splash,263,534
396,2023-06-27,LTR,Orzhov (WB) + Splash,336,651
397,2023-06-27,LTR,Golgari (BG) + Splash,250,459
398,2023-06-27,LTR,Simic (GU) + Splash,167,367
399,2023-06-27,LTR,Izzet (UR) + Splash,460,837
400,2023-06-27,LTR,Boros (RW) + Splash,145,256
401,2023-06-27,LTR,Jeskai (WUR),52,100
402,2023-06-27,LTR,Sultai (UBG),42,82
403,2023-06-27,LTR,Mardu (BRW),100,195
404,2023-06-27,LTR,Temur (RGU),16,30
405,2023-06-27,LTR,Abzan (GWB),114,245
406,2023-06-27,LTR,Esper (WUB),62,128
407,2023-06-27,LTR,Grixis (UBR),236,458
408,2023-06-27,LTR,Jund (BRG),69,122
409,2023-06-27,LTR,Naya (RGW),66,135
410,2023-06-27,LTR,Bant (GWU),53,100
411,2023-06-27,LTR,Jeskai (WUR) + Splash,6,10
412,2023-06-27,LTR,Sultai (UBG) + Splash,5,17
